 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 6.35600000000000E-0001  7.15362367635224E+0000  1.54084832551185E+0000  3.96842921308791E+0000  1.64434613775248E+0000  0.00000000000000E+0000 
 6.58300000000000E-0001  7.22420380218948E+0000  1.58022489965813E+0000  3.99049121955392E+0000  1.65348768297743E+0000  0.00000000000000E+0000 
 6.81000000000000E-0001  7.30719378136516E+0000  1.62827013617206E+0000  4.01519837937316E+0000  1.66372526581993E+0000  0.00000000000000E+0000 
 7.03700000000000E-0001  7.40217297806300E+0000  1.68450616772034E+0000  4.04259115723733E+0000  1.67507565310533E+0000  0.00000000000000E+0000 
 7.26400000000000E-0001  7.50872497309006E+0000  1.74845512696967E+0000  4.07271299913881E+0000  1.68755684698158E+0000  0.00000000000000E+0000 
 7.49100000000000E-0001  7.62643805633530E+0000  1.81963914658677E+0000  4.10561068055624E+0000  1.70118822919229E+0000  0.00000000000000E+0000 
 7.71800000000000E-0001  7.75490577348720E+0000  1.89758035923834E+0000  4.14133469300301E+0000  1.71599072124586E+0000  0.00000000000000E+0000 
 7.94500000000000E-0001  7.89372753770958E+0000  1.98180089759108E+0000  4.17993967650356E+0000  1.73198696361494E+0000  0.00000000000000E+0000 
 8.17200000000000E-0001  8.04250931863021E+0000  2.07182289431170E+0000  4.22148490673251E+0000  1.74920151758600E+0000  0.00000000000000E+0000 
 8.39900000000000E-0001  8.20086442311984E+0000  2.16716848206692E+0000  4.26603484705285E+0000  1.76766109400007E+0000  0.00000000000000E+0000 
 8.62600000000000E-0001  8.36841438502658E+0000  2.26735979352343E+0000  4.31365977758937E+0000  1.78739481391378E+0000  0.00000000000000E+0000 
 8.85300000000000E-0001  8.54478998442043E+0000  2.37191896134794E+0000  4.36443651587034E+0000  1.80843450720216E+0000  0.00000000000000E+0000 
 9.08000000000000E-0001  8.72963242117339E+0000  2.48036811820716E+0000  4.41844924658983E+0000  1.83081505637641E+0000  0.00000000000000E+0000 
 9.30700000000000E-0001  8.92259467309737E+0000  2.59222939676779E+0000  4.47579048185889E+0000  1.85457479447069E+0000  0.00000000000000E+0000 
 9.53400000000000E-0001  9.12334307570851E+0000  2.70702492969655E+0000  4.53656217815443E+0000  1.87975596785754E+0000  0.00000000000000E+0000 
 9.76100000000000E-0001  9.33155916942107E+0000  2.82427684966013E+0000  4.60087704235005E+0000  1.90640527741089E+0000  0.00000000000000E+0000 
 9.98800000000000E-0001  9.54694187119088E+0000  2.94350728932525E+0000  4.66886006714430E+0000  1.93457451472133E+0000  0.00000000000000E+0000 
 1.02150000000000E+0000  9.78877029235267E+0000  3.10153135459737E+0000  4.72811268876344E+0000  1.95912624899186E+0000  0.00000000000000E+0000 
 1.04420000000000E+0000  1.02059206152015E+0001  3.26692565466336E+0000  4.90611303492604E+0000  2.03288192561216E+0000  0.00000000000000E+0000 
 1.06690000000000E+0000  1.06323590830348E+0001  3.27277909772937E+0000  5.20348141234095E+0000  2.15609857296454E+0000  0.00000000000000E+0000 
 1.08960000000000E+0000  1.05959035647207E+0001  3.23119470994862E+0000  5.20710770310609E+0000  2.15760115166605E+0000  0.00000000000000E+0000 
 1.11230000000000E+0000  1.04178696715630E+0001  3.19778857014175E+0000  5.10485080423791E+0000  2.11523029718340E+0000  0.00000000000000E+0000 
 1.13500000000000E+0000  1.01431678334938E+0001  3.17047035400125E+0000  4.92994189897511E+0000  2.04275558051746E+0000  0.00000000000000E+0000 
 1.15770000000000E+0000  1.00777321346569E+0001  3.14775961723815E+0000  4.89973385090200E+0000  2.03023866651677E+0000  0.00000000000000E+0000 
 1.18040000000000E+0000  1.01011289948876E+0001  3.12863665367127E+0000  4.92979685901232E+0000  2.04269548220404E+0000  0.00000000000000E+0000 
 1.20310000000000E+0000  1.01507266301435E+0001  3.11238458318295E+0000  4.97635491266925E+0000  2.06198713429136E+0000  0.00000000000000E+0000 
 1.22580000000000E+0000  1.02132970347435E+0001  3.09848527200998E+0000  5.03042168623870E+0000  2.08439007649490E+0000  0.00000000000000E+0000 
 1.24850000000000E+0000  1.02736959417630E+0001  3.08655412879637E+0000  5.08156157094586E+0000  2.10558024202085E+0000  0.00000000000000E+0000 
 1.27120000000000E+0000  1.03176703434877E+0001  3.07629881070683E+0000  5.11990388662324E+0000  2.12146764615764E+0000  0.00000000000000E+0000 
 1.29390000000000E+0000  1.03345262776799E+0001  3.06749241507824E+0000  5.13804805469896E+0000  2.12898580790276E+0000  0.00000000000000E+0000 
 1.31660000000000E+0000  1.01607814367230E+0001  3.05995559691912E+0000  5.02053314774273E+0000  2.08029269206122E+0000  0.00000000000000E+0000 
