 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 5.44800000000000E-0001  4.63922383628636E+0003  4.11236563492512E+0002  5.77640958651979E+0003  5.76525839915644E+0003  0.00000000000000E+0000 
 5.67500000000000E-0001  4.64160747388006E+0003  4.06414061025294E+0002  5.77625344246711E+0003  5.76502153755450E+0003  0.00000000000000E+0000 
 5.90200000000000E-0001  4.63961726442843E+0003  4.10385080230340E+0002  5.77608243213594E+0003  5.76476512126091E+0003  0.00000000000000E+0000 
 6.12900000000000E-0001  4.63366598428449E+0003  4.22821868448774E+0002  5.77589475773282E+0003  5.76448718517961E+0003  0.00000000000000E+0000 
 6.35600000000000E-0001  4.62449467690982E+0003  4.43371627359207E+0002  5.77568828801516E+0003  5.76418543325502E+0003  0.00000000000000E+0000 
 6.58300000000000E-0001  4.61265601804723E+0003  4.71689822597182E+0002  5.77546047566372E+0003  5.76385716221806E+0003  0.00000000000000E+0000 
 6.81000000000000E-0001  4.59872578071313E+0003  5.07467672490885E+0002  5.77520824760199E+0003  5.76349916150443E+0003  0.00000000000000E+0000 
 7.03700000000000E-0001  4.58332337985099E+0003  5.50451526238252E+0002  5.77492785693174E+0003  5.76310757968801E+0003  0.00000000000000E+0000 
 7.26400000000000E-0001  4.56709509202644E+0003  6.00453740585432E+0002  5.77461467918303E+0003  5.76267774280252E+0003  0.00000000000000E+0000 
 7.49100000000000E-0001  4.55069845409054E+0003  6.57356093632600E+0002  5.77426292569788E+0003  5.76220390175759E+0003  0.00000000000000E+0000 
 7.71800000000000E-0001  4.53478822720199E+0003  7.21107554045195E+0002  5.77386523002231E+0003  5.76167887214592E+0003  0.00000000000000E+0000 
 7.94500000000000E-0001  4.52000413828192E+0003  7.91718414737675E+0002  5.77341203288403E+0003  5.76109350503981E+0003  0.00000000000000E+0000 
 8.17200000000000E-0001  4.50696043293816E+0003  8.69252588392583E+0002  5.77289063443362E+0003  5.76043588131458E+0003  0.00000000000000E+0000 
 8.39900000000000E-0001  4.49623708091430E+0003  9.53819452081166E+0002  5.77228366910036E+0003  5.75969003094040E+0003  0.00000000000000E+0000 
 8.62600000000000E-0001  4.48837222462396E+0003  1.04556617860126E+0003  5.77156651590719E+0003  5.75883378512167E+0003  0.00000000000000E+0000 
 8.85300000000000E-0001  4.48385502847591E+0003  1.14467109781684E+0003  5.77070258928018E+0003  5.75783491917714E+0003  0.00000000000000E+0000 
 9.08000000000000E-0001  4.48311708476795E+0003  1.25133833189027E+0003  5.76963396108170E+0003  5.75664356836493E+0003  0.00000000000000E+0000 
 9.30700000000000E-0001  4.48651755365041E+0003  1.36579374697394E+0003  5.76826015134917E+0003  5.75517529606203E+0003  0.00000000000000E+0000 
 9.53400000000000E-0001  4.49430565630029E+0003  1.48828214519675E+0003  5.76637988648680E+0003  5.75326521477928E+0003  0.00000000000000E+0000 
