 Mach Number             (Cl)alpha - Rocket      (Cl)alpha - Nose/Body   (Cl)alpha - Wing        (Cl)alpha - Body-Wing   *                      
 1.56000000000000E+0000  1.40516936553969E+0001  2.48187758246620E+0000  8.29903724092148E+0000  3.27077883200922E+0000  0.00000000000000E+0000 
 1.59000000000000E+0000  1.37615320597642E+0001  2.48737024984383E+0000  8.12801554225351E+0000  3.14614626766689E+0000  0.00000000000000E+0000 
 1.62000000000000E+0000  1.34800859776799E+0001  2.49491243382414E+0000  7.97186878039674E+0000  3.01330476345903E+0000  0.00000000000000E+0000 
 1.65000000000000E+0000  1.32200025782894E+0001  2.50432141042493E+0000  7.82948070874812E+0000  2.88620045911640E+0000  0.00000000000000E+0000 
 1.68000000000000E+0000  1.29794687628566E+0001  2.51543013482596E+0000  7.69985007799257E+0000  2.76418855003812E+0000  0.00000000000000E+0000 
 1.71000000000000E+0000  1.27568313730250E+0001  2.52808474417647E+0000  7.58207570360937E+0000  2.64667092523922E+0000  0.00000000000000E+0000 
 1.74000000000000E+0000  1.25505690393196E+0001  2.54214254199779E+0000  7.47534438103355E+0000  2.53308211628831E+0000  0.00000000000000E+0000 
 1.77000000000000E+0000  1.23592608493591E+0001  2.55747035610717E+0000  7.37892100903692E+0000  2.42286948421504E+0000  0.00000000000000E+0000 
 1.80000000000000E+0000  1.21815536032790E+0001  2.57394318942412E+0000  7.29214044206741E+0000  2.31546997178749E+0000  0.00000000000000E+0000 
 1.83000000000000E+0000  1.20161229142937E+0001  2.59144310273915E+0000  7.21440070789189E+0000  2.21027910366273E+0000  0.00000000000000E+0000 
 1.86000000000000E+0000  1.18024104952159E+0001  2.60985828289274E+0000  7.08594803595855E+0000  2.10660417636470E+0000  0.00000000000000E+0000 
 1.89000000000000E+0000  1.16574026846679E+0001  2.62908226041763E+0000  7.02473581388109E+0000  2.00358461036920E+0000  0.00000000000000E+0000 
 1.92000000000000E+0000  1.15135335379304E+0001  2.64901324861561E+0000  6.96448178217127E+0000  1.90003850714357E+0000  0.00000000000000E+0000 
 1.95000000000000E+0000  1.13688053398127E+0001  2.66955358201723E+0000  6.90513228849552E+0000  1.79411946929998E+0000  0.00000000000000E+0000 
