 Mach Number             (X)cp - Rocket          (X)cp - Nose/Body       (X)cp - Wing            (X)cp - Body-Wing       (X)cp - Wing-Tail      
 6.00000000000000E-0001  2.89080211815620E+0003  2.68923967304703E+0002  3.39552866418444E+0003  3.38135264742816E+0003  0.00000000000000E+0000 
 6.30000000000000E-0001  2.89235207996909E+0003  2.86517884695285E+0002  3.39535979586921E+0003  3.38101659438483E+0003  0.00000000000000E+0000 
 6.60000000000000E-0001  2.89325718451011E+0003  3.11217753296526E+0002  3.39516574576853E+0003  3.38063886135493E+0003  0.00000000000000E+0000 
 6.90000000000000E-0001  2.89377930008647E+0003  3.42803137752383E+0002  3.39494122373128E+0003  3.38021225441782E+0003  0.00000000000000E+0000 
 7.20000000000000E-0001  2.89420464969956E+0003  3.81123149347561E+0002  3.39467926047523E+0003  3.37972755243259E+0003  0.00000000000000E+0000 
 7.50000000000000E-0001  2.89483532614445E+0003  4.26106837282150E+0002  3.39437046190033E+0003  3.37917268005880E+0003  0.00000000000000E+0000 
 7.80000000000000E-0001  2.89598086053956E+0003  4.77767157237819E+0002  3.39400180698317E+0003  3.37853140262035E+0003  0.00000000000000E+0000 
 8.10000000000000E-0001  2.89794971330872E+0003  5.36200206737882E+0002  3.39355460918244E+0003  3.37778116030319E+0003  0.00000000000000E+0000 
 8.40000000000000E-0001  2.90104015295634E+0003  6.01581606375862E+0002  3.39300083062140E+0003  3.37688923825656E+0003  0.00000000000000E+0000 
 8.70000000000000E-0001  2.90552905095761E+0003  6.74161749879901E+0002  3.39229583510789E+0003  3.37580540542589E+0003  0.00000000000000E+0000 
 9.00000000000000E-0001  2.91165446560713E+0003  7.54261311378478E+0002  3.39136239736743E+0003  3.37444604657161E+0003  0.00000000000000E+0000 
 9.30000000000000E-0001  2.91957834992266E+0003  8.42268022913826E+0002  3.39004884134899E+0003  3.37265361570308E+0003  0.00000000000000E+0000 
 9.60000000000000E-0001  2.92926695799052E+0003  9.38635407692702E+0002  3.38798267923816E+0003  3.37005848174365E+0003  0.00000000000000E+0000 
 9.90000000000000E-0001  2.93967398320569E+0003  1.04388391738517E+0003  3.38354069117510E+0003  3.36513651037965E+0003  0.00000000000000E+0000 
 1.02000000000000E+0000  2.98642521772919E+0003  1.15271584203047E+0003  3.39891358349943E+0003  3.48080243819858E+0003  0.00000000000000E+0000 
 1.05000000000000E+0000  3.01355452568394E+0003  1.26580936038306E+0003  3.40797881805051E+0003  3.48092982132012E+0003  0.00000000000000E+0000 
 1.08000000000000E+0000  3.03447549382930E+0003  1.21878525493401E+0003  3.41351043874638E+0003  3.48100009272480E+0003  0.00000000000000E+0000 
 1.11000000000000E+0000  3.03131024070835E+0003  1.15882619655018E+0003  3.41753129340111E+0003  3.48104682598401E+0003  0.00000000000000E+0000 
 1.14000000000000E+0000  3.01959024909475E+0003  1.09291118801910E+0003  3.42068005429117E+0003  3.48108028128794E+0003  0.00000000000000E+0000 
 1.17000000000000E+0000  3.02163147611398E+0003  1.02431241784013E+0003  3.42325271570917E+0003  3.48110512639490E+0003  0.00000000000000E+0000 
 1.20000000000000E+0000  3.02823475324687E+0003  9.54904095119618E+0002  3.42541355615163E+0003  3.48112392236251E+0003  0.00000000000000E+0000 
 1.23000000000000E+0000  3.03642636113080E+0003  8.85907743993124E+0002  3.42726421448166E+0003  3.48113824215526E+0003  0.00000000000000E+0000 
 1.26000000000000E+0000  3.04267091759912E+0003  8.18197438791285E+0002  3.42887237269271E+0003  3.48114912814535E+0003  0.00000000000000E+0000 
 1.29000000000000E+0000  3.04763524929187E+0003  7.75628371113223E+0002  3.43028557204501E+0003  3.48115730994332E+0003  0.00000000000000E+0000 
 1.32000000000000E+0000  3.04157000016835E+0003  7.44020200720388E+0002  3.43153859178392E+0003  3.48116331971453E+0003  0.00000000000000E+0000 
 1.35000000000000E+0000  3.03097536958731E+0003  7.21528148189919E+0002  3.43265770323833E+0003  3.48116755823409E+0003  0.00000000000000E+0000 
 1.38000000000000E+0000  3.02101937857322E+0003  7.06428808317681E+0002  3.43366327218029E+0003  3.48117033511303E+0003  0.00000000000000E+0000 
 1.41000000000000E+0000  3.01278407734085E+0003  6.97295428102331E+0002  3.43457142799260E+0003  3.48117189452708E+0003  0.00000000000000E+0000 
 1.44000000000000E+0000  3.00522063260160E+0003  6.92920881537798E+0002  3.43539517665266E+0003  3.48117243234896E+0003  0.00000000000000E+0000 
